time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,period_return,target_trade,profit
1576904400,127.45,127.95,127.45,127.61,692.75611137,127.6,127.47,-0.0010188087774294315,-1,0.1297376873040707
1576908000,127.45,127.76,127.6,127.47,1063.04175231,127.47,127.33,-0.0010982976386600814,-1,0.1397063920922576
1576911600,127.3,127.6,127.47,127.33,745.74220264,127.31,127.18,-0.001021129526352961,-1,0.129737385908408
1576915200,127.01,127.64,127.31,127.18,1917.95447208,127.17,127.34,0.0013367932688527302,1,0.17005702760085095
1576918800,127.17,127.34,127.17,127.34,692.82695107,127.34,126.66,-0.0053400345531648095,-1,0.6756924077273508
1576922400,126.63,127.34,127.34,126.66,990.5852747,126.67,127.11,0.003473592800189451,1,0.44108685245124907
1576926000,126.66,127.18,126.67,127.11,419.87686849,127.15,127.57,0.003303185214313704,1,0.4209659504522092
1576929600,126.95,127.86,127.15,127.57,517.76343845,127.52,127.63,0.000862609786700121,0,0.0
1576933200,127.34,127.63,127.52,127.63,501.22175962,127.63,127.09,-0.004230980177074293,-1,0.5371775554336676
1576936800,126.83,127.63,127.63,127.09,642.30473096,127.1,127.2,0.0007867820613690679,0,0.0
1576940400,126.82,127.47,127.1,127.2,624.01216761,127.2,127.29,0.0007075471698113476,0,0.0
1576944000,127.14,127.81,127.2,127.29,659.64294048,127.29,127.27,-0.0001571215335062474,0,-0.0
1576947600,127.11,127.61,127.29,127.27,1155.48296745,127.27,127.21,-0.0004714386736858826,0,-0.0
1576951200,127.07,127.42,127.27,127.21,869.53438684,127.21,127.07,-0.001100542410187883,-1,0.1397060781385117
1576954800,127.06,127.21,127.21,127.07,517.76552892,127.06,127.13,0.0005509208248071241,0,0.0
1576958400,126.85,127.17,127.06,127.13,1123.37073994,127.12,127.13,7.866582756443443e-05,0,0.0
1576962000,126.92,127.25,127.12,127.13,2623.24818096,127.16,126.96,-0.0015728216420258167,-1,0.1994857502359261
1576965600,126.85,127.6,127.16,126.96,1450.58193167,126.91,127.29,0.002994247892207152,1,0.38075667638484934
1576969200,126.9,127.36,126.91,127.29,800.84935399,127.29,127.09,-0.0015712153350616925,-1,0.19948607117605752
1576972800,126.91,127.37,127.29,127.09,1559.32974802,127.16,126.97,-0.0014941805599244867,-1,0.18952638958791848
1576976400,126.89,127.28,127.16,126.97,318.71030443,126.97,127.34,0.002914074190753757,1,0.3707071292431328
1576980000,126.97,127.42,126.97,127.34,337.72732046,127.37,127.16,-0.0016487398916542981,-1,0.20944411085813777
1576983600,127.08,127.53,127.37,127.16,663.78410393,127.16,127.24,0.0006291286568103043,0,0.0
1576987200,127.03,127.28,127.16,127.24,568.52801704,127.23,127.24,7.859781498067205e-05,0,0.0
1576990800,127.16,127.29,127.23,127.24,339.25860367,127.25,127.03,-0.0017288801571709144,-1,0.21940002671905584
1576994400,127.01,127.27,127.25,127.03,209.65979251,127.03,127.08,0.00039360780917891173,0,0.0
1576998000,126.99,127.13,127.03,127.08,208.51706266,127.07,129.4,0.01833635004328333,1,2.370350971905262
1577001600,127.07,129.55,127.07,129.4,3909.39560381,129.47,128.73,-0.00571560979377469,-1,0.7350346783038632
1577005200,128.73,130.87,129.47,128.73,5413.77348365,128.77,129.0,0.0017861303098547002,1,0.23018039916128508
1577008800,128.77,129.23,128.77,129.0,403.43496968,128.99,129.47,0.0037212186991238834,1,0.4813043987905936
1577012400,128.99,129.68,128.99,129.47,957.62261241,129.49,129.08,-0.0031662676654567656,-1,0.4082931284269022
1577016000,128.96,129.75,129.49,129.08,224.67653428,129.09,129.32,0.0017817026880470196,1,0.23017938182662231
1577019600,129.09,129.56,129.09,129.32,813.8572899,129.32,129.55,0.0017785338694712202,1,0.23017865372720658
1577023200,129.32,129.99,129.32,129.55,997.92812729,129.55,129.47,-0.0006175221922038788,0,-0.0
1577026800,129.28,129.55,129.55,129.47,628.92629385,129.47,129.77,0.002317139105584393,1,0.300394446589955
1577030400,129.33,129.95,129.47,129.77,1182.71245677,129.71,129.82,0.0008480456402743445,0,0.0
1577034000,129.5,130.55,129.71,129.82,3437.3241996,129.82,130.36,0.004159605607764755,1,0.5417039408411852
1577037600,129.65,131.09,129.82,130.36,3079.93557666,130.36,131.35,0.007594354096348424,1,0.9965208921448101
1577041200,130.02,131.89,130.36,131.35,5183.87193105,131.35,132.14,0.006014465169394687,1,0.7939566760563299
1577044800,131.35,132.49,131.35,132.14,2756.61625828,132.14,133.06,0.006962312698653065,1,0.9254789223550941
1577048400,132.06,133.12,132.14,133.06,2954.95042914,133.06,132.01,-0.00789117691267106,-1,1.040672549977465
1577052000,131.9,133.22,133.06,132.01,1705.78315495,132.01,131.95,-0.00045451102189229814,0,-0.0
1577055600,131.5,132.29,132.01,131.95,1399.70801045,131.95,132.4,0.003410382720727678,1,0.4510831375521202
1577059200,131.63,132.43,131.95,132.4,2743.25727603,132.4,133.96,0.011782477341389744,1,1.5768022839879177
1577062800,132.22,135.0,132.4,133.96,6460.1363286,133.97,134.34,0.0027618123460476564,1,0.37065084869747417
1577066400,133.28,134.82,133.97,134.34,3506.24596753,134.33,134.02,-0.002307749571949693,-1,0.3089753130350652
1577070000,133.97,135.24,134.33,134.02,4224.8773099,134.03,134.04,7.461016190398347e-05,0,0.0
1577073600,133.6,134.28,134.03,134.04,2113.73223092,134.04,133.26,-0.0058191584601611545,-1,0.7746855953446744
1577077200,133.26,134.11,134.04,133.26,1759.11332,133.23,132.44,-0.0059295954364632,-1,0.784530303985581
1577080800,132.19,133.25,133.23,132.44,1544.84613405,132.45,131.74,-0.005360513401283349,-1,0.7054878414495834
1577084400,131.06,132.6,132.45,131.74,3210.50593325,131.8,131.88,0.0006069802731410021,0,0.0
1577088000,131.42,132.32,131.8,131.88,964.5139351,131.87,132.64,0.005839083946310623,1,0.7737215985440022
1577091600,131.71,132.64,131.87,132.64,456.09643721,132.64,132.79,0.0011308805790108995,1,0.15001946245477046
1577095200,132.24,132.8,132.64,132.79,532.82385037,132.8,132.67,-0.000978915662650782,0,-0.0
