time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,target_return,target_trade
1602374400,365.02,380.81,365.35,370.75,117309.72652529,370.73,374.38,0.009845440077684507,1
1602460800,369.02,377.49,370.73,374.38,55925.96138195,374.37,386.74,0.033042177524908525,1
1602547200,365.77,395.18,374.37,386.74,111464.29529211,386.77,381.37,-0.01396178607441109,-1
1602633600,374.29,387.88,386.77,381.37,84543.6186979,381.37,378.97,-0.006293101187822789,-1
1602720000,373.29,387.63,381.37,378.97,80200.71716699,379.01,377.94,-0.0028231445080604553,-1
1602806400,370.06,381.99,379.01,377.94,68915.97860381,377.89,365.57,-0.03260207997036173,-1
1602892800,361.38,380.0,377.89,365.57,106263.28472121,365.57,368.48,0.00796017178652522,1
1602979200,363.56,370.57,365.57,368.48,41868.07115942,368.48,378.58,0.02740990013026478,1
1603065600,367.31,378.69,368.48,378.58,42509.2101992,378.56,379.36,0.002113271344040605,1
1603152000,372.89,384.69,378.56,379.36,69957.45766229,379.53,368.81,-0.028245461491845102,-1
1603238400,363.01,380.9,379.53,368.81,84940.26982272,368.81,391.53,0.06160353569588669,1
1603324800,368.06,402.62,368.81,391.53,249849.80700571,391.36,414.7,0.059638184791496254,1
1603411200,391.33,421.47,391.36,414.7,182333.508395,414.64,409.52,-0.012348060968551044,-1
1603497600,401.51,419.48,414.64,409.52,124844.52058112,409.55,412.58,0.007398364058112496,1
1603584000,407.4,417.0,409.55,412.58,68349.19907782,412.58,406.46,-0.014833486838916101,-1
1603670400,402.92,417.86,412.58,406.46,53762.84086586,406.32,393.12,-0.03248670998227995,-1
1603756800,382.21,411.47,406.32,393.12,129676.34185848,393.07,404.55,0.029205993843335838,1
1603843200,390.35,411.77,393.07,404.55,108903.27558482,404.56,388.63,-0.039376112319557066,-1
1603929600,380.5,409.52,404.56,388.63,128255.13819075,388.59,387.6,-0.0025476723538947277,-1
1604016000,380.75,394.0,388.59,387.6,104421.73544657,387.49,382.77,-0.012180959508632551,-1
1604102400,373.4,392.16,387.49,382.77,107710.17276225,382.77,386.74,0.010371763722339859,1
